Student ID,School,Gender,Game-Playing Frequency,Game-Playing Skill,Game-Playing Hours,Content Pre 1,Content Pre 2,Content Pre 3,Content Pre 4,Content Pre 5,Content Pre 6,Content Pre 7,Content Pre 8,Content Pre 9,Content Pre 10,Content Pre 11,Content Pre 12,Content Pre 13,Content Pre 14,Content Pre 15,Content Pre 16,Content Pre 17,Content Pre 18,Content Pre 19,Content Pre Total,BFI Open,BFI Conscientious,BFI Extraversion,BFI Agreeable,BFI Neuroticism,AGQ Mastery Approach,AGQ Mastery Avoid,AGQ Performance Approach,AGQ Performance Avoid,CERQ Self Blame,CERQ Acceptance,CERQ Rumination,CERQ Positive Refocusing,CERQ Planning,CERQ Positive Reappraisal,CERQ Putting into Perspective,CERQ Catastrophizing,CERQ Other-Blame,Game Soln Disease,Game Soln Object,Content Post 1,Content Post 2,Content Post 3,Content Post 4,Content Post 5,Content Post 6,Content Post 7,Content Post 8,Content Post 9,Content Post 10,Content Post 11,Content Post 12,Content Post 13,Content Post 14,Content Post 15,Content Post 16,Content Post 17,Content Post 18,Content Post 19,Content Post Total,Narrative 1,Narrative 2,Narrative 3,Narrative 4,Narrative 5,Narrative 6,Narrative 7,Narrative 8,Narrative 9,Narrative 10,Narrative 11,Narrative 12,Narrative 13,Narrative Total,IMI Interest Total,IMI Competence Total,IMI Effort Total,IMI Pressure Total,IMI Value Total,PQ Involvement,PQ Sensory Fidelity,PQ Adaptation / Immersion,PQ Interface Quality,PQ Total,Learning Gain,Normalized Learning Gain,Solved Mystery,CompletionTime
100-0001,AnonymousA,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,38,34,37,37,24,21,9,21,21,10,10,10,10,10,10,10,10,10,disease-Influenza,object-Egg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,1,1,1,0,1,1,0,0,8,5.285714286,6,7,2.75,7,84,42,56,3,185,-1,-0.0625,0,9999
100-0003,AnonymousA,2,2,2,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,7,41,29,30,45,19,21,11,13,18,4,8,10,6,10,10,8,4,2,disease-Salmonellosis,object-Sandwich,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,13,1,1,1,1,1,1,1,1,1,1,1,1,0,12,6.714285714,6.5,6.4,2.75,7,72,41,51,13,177,6,0.5,0,9999
100-0004,AnonymousA,1,3,3,3,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,8,27,33,30,32,19,5,3,7,7,6,6,6,6,6,6,6,5,6,disease-Influenza,object-Milk,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,1,1,1,1,1,0,1,1,0,0,1,0,8,3.285714286,3.5,3.6,5.25,3,47,28,32,12,119,-3,-0.272727273,0,9999
100-0005,AnonymousA,1,4,4,3,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,37,25,31,40,22,18,7,3,12,7,10,7,3,8,10,8,8,2,disease-Salmonellosis,object-Egg,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,13,1,1,1,1,0,1,1,1,1,1,0,1,1,11,6.714285714,5.833333333,5.4,1.5,7,61,30,41,13,145,8,0.571428571,1,2493.75
100-0006,AnonymousA,2,2,4,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,10,49,37,32,39,9,18,3,15,18,6,6,6,2,6,6,8,2,6,disease-Salmonellosis,object-Egg,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17,1,1,1,1,1,1,1,1,1,1,1,1,1,13,7,6.5,7,2.75,7,69,27,47,15,158,7,0.777777778,1,3171.119873
100-0007,AnonymousA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,disease-Influenza,object-Egg,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,7,1,1,1,0,0,0,1,0,0,0,1,0,1,6,2.857142857,3.333333333,3.6,4.25,2.714285714,27,10,21,17,75,None,None,0,9999
100-0008,AnonymousA,1,5,5,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,6,34,23,30,28,23,11,11,12,12,5,6,7,6,5,5,5,7,5,disease-Salmonellosis,object-Milk,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,11,1,1,1,1,1,1,0,1,1,0,0,1,1,10,4.285714286,4,4,5,4,50,24,32,12,118,5,0.384615385,1,2525.474854
100-0009,AnonymousA,2,3,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,32,36,25,44,20,17,16,14,21,4,7,8,7,7,8,7,8,3,disease-Salmonellosis,object-Egg,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,8,0,1,1,1,1,1,1,1,1,0,0,0,0,8,5.428571429,3.666666667,6.6,2.25,6.571428571,72,40,44,9,165,5,0.3125,0,9999
100-0010,AnonymousA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,disease-Salmonellosis,object-Milk,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,9,1,1,1,1,1,1,0,1,0,0,0,1,0,8,5.142857143,5.333333333,4.4,5.25,4.857142857,61,29,40,7,137,None,None,0,9999
100-0011,AnonymousA,1,3,2,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,6,37,23,20,35,22,11,13,10,15,6,8,8,7,8,8,9,6,5,disease-Influenza,object-Sandwich,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,8,1,1,1,1,1,1,1,1,0,1,0,1,0,10,7,7,7,2.75,7,83,42,56,12,193,2,0.153846154,0,9999
100-0012,AnonymousA,1,5,5,5,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,9,27,28,28,23,24,12,6,21,5,4,4,4,5,7,6,6,7,8,disease-Influenza,object-Sandwich,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,1,1,1,1,0,0,0,0,0,7,5.285714286,4.333333333,5.4,2.75,1,55,28,38,13,134,-6,-0.6,0,9999
100-0013,AnonymousA,2,2,2,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,6,33,25,30,35,20,12,14,12,14,9,10,7,7,8,7,8,3,2,disease-Influenza,object-Egg,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,9,1,1,1,1,1,1,1,1,1,1,0,1,0,11,3.857142857,2,3.2,4.75,6.571428571,49,27,31,17,124,3,0.230769231,0,9999
100-0014,AnonymousA,1,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,31,43,38,41,18,8,12,13,14,5,6,7,9,10,10,6,2,2,disease-Salmonellosis,object-Egg,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,9,0,1,1,1,0,1,0,1,1,1,0,1,1,9,3.142857143,1.833333333,3.6,3.75,3.428571429,42,28,42,18,130,5,0.333333333,0,9999
100-0016,AnonymousA,2,1,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,7,30,33,40,29,24,13,11,12,14,6,10,9,10,10,10,10,8,3,disease-Influenza,object-Egg,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,5,1,1,1,1,1,1,1,1,1,1,0,1,1,12,5.857142857,5.833333333,5.2,3.5,6,67,34,47,6,154,-2,-0.166666667,1,2502.599854
100-0017,AnonymousA,1,5,5,5,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,6,35,19,37,24,26,21,21,21,21,10,2,7,4,8,6,8,6,6,disease-Salmonellosis,object-Egg,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,13,1,1,1,1,1,1,1,0,1,1,1,1,1,12,6.857142857,7,6.6,0,6.571428571,73,35,50,12,170,7,0.538461538,1,3114
100-0018,AnonymousA,1,4,5,4,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,8,38,29,26,33,9,12,3,16,12,6,9,6,8,7,8,8,2,2,disease-Influenza,object-Milk,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,9,1,1,1,1,1,1,1,1,1,0,1,1,1,12,6,6.666666667,6.2,2.5,6.714285714,80,39,50,19,188,1,0.090909091,1,2108.339844
100-0019,AnonymousA,2,3,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,6,40,31,35,31,24,9,6,6,16,4,7,5,8,9,5,8,9,5,disease-Influenza,object-Sandwich,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,15,1,1,1,1,1,1,1,1,1,1,1,1,1,13,6.428571429,6.5,5.8,4.25,6.285714286,68,36,48,15,167,9,0.692307692,1,3017.415039
100-0020,AnonymousA,1,4,5,2,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,8,36,24,26,25,18,13,11,13,13,6,8,7,6,6,7,7,6,5,disease-Salmonellosis,object-Sandwich,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,10,1,1,1,1,1,1,0,0,1,1,1,0,0,9,4.571428571,4.333333333,4.8,3.75,4.857142857,59,28,37,14,138,2,0.181818182,0,9999
100-0021,AnonymousA,1,3,3,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,8,38,38,31,41,18,21,9,21,21,4,6,7,7,7,10,4,2,2,disease-Salmonellosis,object-Sandwich,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,11,1,1,1,1,1,1,1,1,0,1,1,1,1,12,7,7,7,2.75,7,84,42,52,21,199,3,0.272727273,1,2174.070068
100-0022,AnonymousA,2,2,3,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,9,45,31,32,40,24,18,13,15,20,4,8,9,10,9,9,9,2,2,disease-Salmonellosis,object-Milk,1,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,11,1,0,1,1,0,1,1,1,0,1,0,1,0,8,3.285714286,3,3.8,3.25,3.571428571,52,34,34,21,141,2,0.2,0,9999
100-0023,AnonymousA,2,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,7,36,27,24,38,32,17,21,13,20,10,7,8,4,8,8,7,10,2,None,None,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,11,1,1,1,1,1,1,0,1,0,0,1,-1,-1,-1,3,2.5,5.4,5.75,5,53,30,34,12,129,4,0.333333333,0,9999
100-0024,AnonymousA,1,3,4,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,9,40,38,23,40,31,20,15,20,21,7,9,9,7,8,10,7,7,7,disease-Influenza,object-Milk,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,11,1,1,1,1,1,1,1,1,0,0,1,1,1,11,3.428571429,5.666666667,5.4,3.75,5.571428571,54,32,39,10,135,2,0.2,1,2921.72998
100-0025,AnonymousA,2,3,4,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,7,43,27,33,40,25,14,18,7,16,9,8,8,2,6,3,9,4,2,disease-Influenza,object-Sandwich,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,10,1,1,1,1,1,1,1,1,1,0,1,1,1,12,3.142857143,5.666666667,4.2,1.25,3.714285714,63,29,41,17,150,3,0.25,1,2176.949951
100-0026,AnonymousA,1,5,4,3,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,8,39,38,18,32,30,17,13,8,3,7,6,8,9,9,8,9,8,4,disease-Influenza,object-Milk,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,7,1,1,0,1,1,0,0,1,0,0,0,0,0,5,3.428571429,4.666666667,5.8,6.5,4.428571429,63,36,46,9,154,-1,-0.090909091,0,9999
100-0027,AnonymousA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,disease-Salmonellosis,object-Egg,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,15,1,1,1,1,1,1,1,1,1,0,1,0,1,11,5.428571429,2.666666667,6.8,6.75,6.857142857,52,27,32,10,121,None,None,0,9999
